# class blue green red nir swir_1 swir_2 red_edge_1 red_edge_2 red_edge_3 BCMAD EMAD SMAD NDVI LAI MNDWI slope
1.000000 855.666667 1101.666667 1382.333333 2501.333333 3798.666667 3217.000000 1690.666667 2144.000000 2391.333333 0.047051 773.331543 0.002264 0.287456 0.584385 -0.550542 4.152708
1.000000 564.142857 791.857143 793.857143 2664.857143 2642.571429 1842.714286 1205.142857 2220.428571 2532.142857 0.070802 992.221985 0.006000 0.541498 1.166440 -0.539164 3.364964
0.000000 566.375000 872.583333 939.458333 2542.125000 2870.875000 1966.791667 1487.333333 2182.875000 2422.166667 0.051504 704.556335 0.002020 0.462162 0.923107 -0.534270 2.545961
0.000000 439.312500 622.937500 701.375000 2559.187500 2412.437500 1476.500000 1143.250000 2095.312500 2427.375000 0.065302 804.653015 0.003276 0.570939 1.131485 -0.590747 3.517323
0.000000 523.062500 746.750000 901.250000 2682.125000 2829.125000 1899.625000 1389.750000 2255.187500 2576.812500 0.065931 908.630859 0.003946 0.499987 1.021082 -0.584016 3.410761
1.000000 915.000000 1321.000000 1801.250000 2797.916667 3853.750000 3145.916667 2123.833333 2460.500000 2672.166667 0.088579 1493.937134 0.001765 0.218112 0.421902 -0.490244 1.972461
1.000000 919.454545 1290.818182 1744.545455 2684.727273 3855.727273 3183.545455 2024.727273 2338.000000 2538.909091 0.064277 1007.766663 0.001434 0.213128 0.405971 -0.498858 4.485614
0.000000 641.857143 919.428571 1204.428571 2288.285714 3260.000000 2462.571429 1602.571429 2018.000000 2218.857143 0.074796 1052.936646 0.004647 0.313607 0.551272 -0.561301 1.321312
0.000000 787.916667 1134.250000 1498.000000 2646.916667 3470.583333 2686.833333 1897.833333 2349.291667 2564.875000 0.091880 1420.099609 0.003493 0.278292 0.543890 -0.507810 2.768983
1.000000 654.583333 880.250000 1063.000000 2339.750000 3218.333333 2295.916667 1410.916667 1956.166667 2212.083333 0.068689 1001.023132 0.005050 0.376751 0.720848 -0.569788 3.351998
0.000000 794.258065 1074.903226 1314.419355 2585.161290 3967.580645 2775.419355 1695.064516 2196.516129 2432.870968 0.055351 941.527100 0.003317 0.326879 0.673797 -0.574486 3.197003
0.000000 910.444444 1167.777778 1485.611111 2524.333333 4363.500000 3299.333333 1812.944444 2172.611111 2383.833333 0.052172 895.878357 0.001731 0.259396 0.524312 -0.578620 3.268733
1.000000 468.285714 660.714286 692.571429 2216.428571 2512.571429 1738.285714 1086.000000 1852.428571 2114.571429 0.101321 1245.400269 0.014026 0.523849 0.953750 -0.583657 3.051794
1.000000 456.666667 660.333333 728.166667 2142.833333 2442.166667 1667.666667 1089.166667 1775.333333 2020.500000 0.062146 726.579895 0.004297 0.492706 0.859794 -0.574286 3.476321
1.000000 513.777778 701.888889 717.444444 2483.222222 2709.888889 1984.666667 1098.777778 2025.111111 2326.555556 0.063655 844.650269 0.005832 0.551659 1.117090 -0.587584 3.284320
0.000000 900.475000 1220.575000 1492.825000 2776.875000 4146.650000 2937.700000 1892.225000 2395.375000 2636.275000 0.050309 926.745972 0.002999 0.301049 0.656303 -0.546166 3.468597
0.000000 853.666667 1152.476190 1397.714286 2662.857143 4045.047619 2871.571429 1782.809524 2283.523810 2517.380952 0.051655 890.597534 0.003468 0.312400 0.663317 -0.557093 4.628161
0.000000 982.047619 1325.625000 1695.845238 2555.898810 3500.291667 2988.994048 1970.250000 2289.952381 2469.273810 0.053301 860.168518 0.001700 0.206290 0.390275 -0.453440 3.331624
0.000000 537.679775 754.853933 970.758427 2326.831461 2830.432584 1973.634831 1341.674157 1949.837079 2203.853933 0.076900 973.071655 0.005025 0.414928 0.753372 -0.580147 2.688625
0.000000 430.375000 604.125000 674.125000 2580.875000 2354.250000 1446.687500 1121.437500 2122.812500 2454.000000 0.057259 678.539307 0.002692 0.584929 1.168449 -0.592576 3.089143
0.000000 1470.112450 1664.967871 1941.827309 2411.060241 4120.124498 4223.152610 2112.506024 2190.180723 2311.076305 0.037156 680.352905 0.000773 0.109705 0.206628 -0.427143 0.004733
0.000000 595.580645 904.806452 1253.887097 2250.983871 2992.258065 2442.935484 1594.193548 1985.435484 2169.112903 0.062604 923.922485 0.003303 0.285331 0.471980 -0.536038 2.454969
0.000000 640.208333 934.208333 1230.083333 2438.833333 3215.375000 2357.666667 1625.916667 2124.041667 2340.750000 0.072858 1079.227173 0.005554 0.331226 0.611626 -0.550341 4.087423
0.000000 589.300000 874.900000 1124.500000 2443.400000 3119.200000 2266.100000 1562.400000 2134.300000 2366.800000 0.077522 1147.054565 0.009112 0.370453 0.690251 -0.562154 1.040182
0.000000 476.666667 667.238095 792.047619 2515.333333 2516.142857 1569.047619 1215.904762 2076.047619 2393.190476 0.056428 687.422668 0.003659 0.524117 1.022578 -0.581952 3.255939
1.000000 981.421053 1420.684211 1966.157895 3003.631579 3922.684211 3079.526316 2300.473684 2662.526316 2877.157895 0.067090 1268.347046 0.002267 0.209184 0.421033 -0.468408 1.701582
1.000000 746.500000 979.125000 1188.375000 2232.250000 3700.250000 2707.875000 1522.500000 1917.500000 2122.125000 0.056693 841.348511 0.002438 0.305171 0.568038 -0.581527 2.959425
