# class blue green red nir swir_1 swir_2 red_edge_1 red_edge_2 red_edge_3 BCMAD EMAD SMAD NDVI LAI MNDWI slope elevation mrrtf mrvbf
1.000000 545.806452 752.709677 827.903226 2254.387097 2873.096774 2119.354839 1198.483871 1871.258065 2126.419355 0.067246 901.812744 0.004813 0.462430 0.864640 -0.584543 2.765852 1490.096774 0.258065 2.967742
1.000000 726.820000 969.946667 1293.653333 2494.960000 3701.586667 2679.860000 1646.293333 2049.313333 2295.133333 0.057663 911.449890 0.002111 0.318978 0.616347 -0.585987 4.584275 1413.300000 0.493333 2.380000
1.000000 701.972973 947.621622 1203.702703 2323.500000 3409.175676 2478.391892 1528.432432 1944.689189 2160.540541 0.080855 1113.702881 0.003880 0.321051 0.593208 -0.566632 3.535372 1409.527027 0.229730 3.864865
1.000000 618.000000 855.732394 1091.281690 2136.661972 3193.549296 2338.028169 1407.070423 1792.239437 1991.197183 0.071339 944.818359 0.005267 0.328121 0.555921 -0.579040 3.087353 1395.521127 0.338028 4.000000
0.000000 925.823529 1330.411765 1754.932773 2765.504202 3786.823529 3028.420168 2099.991597 2450.588235 2651.504202 0.092304 1477.150879 0.002489 0.227274 0.443680 -0.483026 2.100005 1492.075630 5.000000 1.655462
1.000000 663.129555 898.510121 1052.724696 2416.793522 3228.595142 2371.817814 1410.044534 2051.425101 2306.728745 0.069793 985.995728 0.007708 0.403406 0.790282 -0.566695 2.484943 1476.587045 0.068826 3.307692
0.000000 731.144444 1029.488889 1358.944444 2325.166667 3309.950000 2532.255556 1675.266667 2019.861111 2211.661111 0.083727 1126.496582 0.003595 0.266348 0.466304 -0.528631 2.260465 1494.855556 4.922222 1.916667
0.000000 785.238754 1090.660900 1470.577855 2526.775087 3545.252595 2840.024221 1803.235294 2193.757785 2408.709343 0.068003 1057.851807 0.001823 0.267909 0.503674 -0.531486 2.501176 1457.598616 3.955017 2.889273
0.000000 708.533181 1010.965675 1316.972540 2459.157895 3363.951945 2547.684211 1689.995423 2136.281465 2347.993135 0.071466 1028.432983 0.003570 0.305410 0.570070 -0.539244 2.991079 1481.441648 4.000000 1.734554
0.000000 1126.806723 1565.813445 2072.327731 3225.959664 4728.104202 3822.946218 2480.813445 2871.357983 3097.188235 0.045429 962.365112 0.001341 0.219195 0.489407 -0.503604 4.162855 1416.564706 0.924370 1.872269
0.000000 1330.540897 1530.000000 1815.828496 2365.941953 4050.786280 3970.364116 2003.118734 2119.532982 2255.000000 0.039485 693.057556 0.000953 0.136695 0.252225 -0.457122 0.142767 1483.026385 4.846966 4.000000
0.000000 643.141066 941.554859 1280.529781 2419.213166 3242.811912 2445.768025 1661.047022 2126.655172 2331.398119 0.067695 1034.705933 0.004514 0.310485 0.557973 -0.551203 2.034378 1491.702194 5.000000 1.529781
0.000000 810.744038 1203.449921 1624.478537 2808.362480 3666.222576 2934.569157 1998.503975 2466.341812 2687.564388 0.075734 1251.013672 0.002368 0.271364 0.537604 -0.507677 2.522076 1538.596184 4.211447 1.577107
0.000000 830.997805 1116.481888 1479.327113 2598.622393 3834.073546 2979.643249 1832.590560 2240.596048 2467.219539 0.057922 913.865112 0.001403 0.278800 0.550641 -0.551123 2.204081 1460.509330 3.993414 1.614709
0.000000 845.833698 1225.114880 1715.364333 2756.737418 3790.156455 3062.911379 2097.487965 2474.242888 2669.437637 0.063361 1041.072510 0.002289 0.234931 0.447705 -0.512588 2.193347 1475.500000 4.000000 1.805252
0.000000 1073.118644 1501.785311 1936.661017 3212.807910 4259.084746 3371.367232 2357.508475 2823.022599 3058.949153 0.058002 1136.295044 0.001909 0.250839 0.572107 -0.480766 2.435522 1401.960452 2.384181 4.129944
0.000000 995.441176 1400.928105 1910.709150 3050.431373 4091.581699 3309.199346 2311.751634 2709.526144 2912.078431 0.055028 1011.299194 0.001829 0.231982 0.488357 -0.491371 1.902714 1420.676471 4.000000 2.398693
0.000000 864.010504 1200.581933 1575.602941 2666.100840 3762.913866 2876.634454 1935.550420 2317.615546 2518.294118 0.066399 1048.378052 0.002182 0.259907 0.513878 -0.518512 2.180918 1418.163866 4.000000 1.825630
0.000000 837.081481 1075.718519 1389.607407 2288.474074 4307.807407 3203.496296 1655.814815 1922.807407 2112.718519 0.041110 676.513062 0.001767 0.244703 0.448313 -0.600548 2.765602 1418.266667 4.000000 3.000000
0.000000 708.428571 965.076190 1229.409524 2483.961905 3495.695238 2545.200000 1593.742857 2104.857143 2355.409524 0.056024 838.146484 0.001385 0.341156 0.665728 -0.568638 3.715819 1505.409524 3.942857 1.752381
0.000000 717.291262 996.893204 1271.980583 2593.417476 3547.174757 2604.310680 1671.582524 2212.058252 2467.456311 0.056883 864.561279 0.001554 0.346463 0.692259 -0.562860 2.955379 1498.932039 2.087379 1.388350
0.000000 811.076923 1117.153846 1496.615385 2712.500000 3723.000000 2873.961538 1845.923077 2320.961538 2570.692308 0.051434 810.720581 0.000783 0.293489 0.591421 -0.540485 0.797403 1514.076923 4.000000 1.653846
0.000000 577.661290 807.500000 973.032258 2361.725806 3057.290323 2065.806452 1381.500000 1982.677419 2236.612903 0.061512 822.824951 0.001538 0.422807 0.794059 -0.584278 2.324043 1510.919355 4.000000 1.774194
0.000000 754.453125 1012.640625 1304.500000 2520.921875 3620.968750 2707.312500 1665.484375 2144.593750 2391.531250 0.063049 944.597290 0.001420 0.319693 0.632692 -0.563792 3.844178 1510.984375 0.484375 2.671875
0.000000 493.500000 702.684211 785.473684 2371.526316 2744.263158 1748.815789 1217.342105 1935.736842 2225.052632 0.073048 918.237366 0.002077 0.505179 0.955863 -0.593370 3.045813 1514.815789 1.394737 3.000000
0.000000 1019.666667 1355.833333 1764.500000 2881.916667 4072.833333 3302.333333 2041.166667 2442.250000 2693.916667 0.047302 821.910217 0.001209 0.245096 0.525133 -0.502878 2.323177 1506.000000 0.000000 3.000000
0.000000 783.585938 1091.382812 1405.601562 2577.570312 3475.156250 2577.398438 1749.414062 2208.078125 2443.054688 0.073194 1106.865234 0.002617 0.302197 0.589486 -0.525964 3.235251 1504.117188 1.945312 1.460938
0.000000 583.754386 794.521930 1028.127193 2007.723684 3024.267544 2211.157895 1329.140351 1707.745614 1896.491228 0.081102 1050.825928 0.006039 0.323784 0.524038 -0.584723 2.605786 1512.245614 3.969298 2.039474
0.000000 657.879167 909.350000 1175.220833 2343.195833 3217.758333 2374.508333 1531.491667 2016.945833 2237.795833 0.055529 779.611267 0.002265 0.334767 0.615373 -0.560515 2.207872 1517.162500 4.637500 2.062500
0.000000 933.892523 1308.528037 1716.317757 2722.228972 3613.308411 2947.294393 2049.518692 2420.434579 2611.327103 0.058933 951.242249 0.001984 0.229761 0.451743 -0.471239 2.660470 1480.088785 5.000000 2.037383
0.000000 904.386076 1264.322785 1668.183544 2641.689873 3606.177215 3015.151899 1991.943038 2344.386076 2528.291139 0.073636 1153.114868 0.002814 0.228860 0.437433 -0.483771 2.608199 1477.379747 3.651899 1.284810
0.000000 975.715385 1375.023077 1805.761538 2853.315385 3681.284615 3193.476923 2135.915385 2538.415385 2744.030769 0.055291 948.956543 0.001783 0.227788 0.462386 -0.458154 2.267523 1478.361538 5.000000 2.661538
0.000000 735.700000 1078.072414 1504.334483 2469.203448 3270.196552 2642.137931 1850.448276 2190.903448 2371.734483 0.078688 1152.796997 0.003827 0.245424 0.430499 -0.505324 2.021082 1445.593103 4.000000 2.368966
